127.0.0.1, 2019-08-22 17:32:13, GET, /, HTTP/1.1, 303, 0.004000
127.0.0.1, 2019-08-22 17:32:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.837000
127.0.0.1, 2019-08-22 17:32:14, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-08-22 17:32:14, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.005000
.003000
127.0.0.1, 2019-08-22 17:32:14, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2019-08-22 17:32:14, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-08-22 17:32:14, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-08-22 17:32:14, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-08-22 17:32:14, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-08-22 17:32:14, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-08-22 17:32:14, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-08-22 17:32:38, GET, /admin/default/index, HTTP/1.1, 200, 0.482000
127.0.0.1, 2019-08-22 17:32:38, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2019-08-22 17:32:38, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2019-08-22 17:32:38, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.048000
127.0.0.1, 2019-08-22 17:32:38, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2019-08-22 17:32:38, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.065000
127.0.0.1, 2019-08-22 17:32:38, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2019-08-22 17:32:38, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.011000
00
127.0.0.1, 2019-08-22 17:32:38, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.070000
127.0.0.1, 2019-08-22 17:32:38, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-08-22 17:32:38, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2019-08-22 17:32:38, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.034000
127.0.0.1, 2019-08-22 17:32:38, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.160000
127.0.0.1, 2019-08-22 17:32:38, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.045000
127.0.0.1, 2019-08-22 17:32:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-08-22 17:32:48, POST, /admin/default/index, HTTP/1.1, 303, 0.034000
127.0.0.1, 2019-08-22 17:32:48, GET, /admin/default/site, HTTP/1.1, 200, 0.081000
127.0.0.1, 2019-08-22 17:32:48, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-08-22 17:32:48, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.024000
127.0.0.1, 2019-08-22 17:32:49, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-08-22 17:32:50, POST, /admin/default/check_version, HTTP/1.1, 200, 1.432000
127.0.0.1, 2019-08-22 17:32:51, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:32:12, GET, /, HTTP/1.1, 303, 0.015000
127.0.0.1, 2019-08-23 11:32:13, GET, /welcome/default/index, HTTP/1.1, 200, 1.054000
127.0.0.1, 2019-08-23 11:32:17, GET, /admin/default/index, HTTP/1.1, 200, 0.545000
127.0.0.1, 2019-08-23 11:32:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-08-23 11:32:20, POST, /admin/default/index, HTTP/1.1, 200, 1.046000
127.0.0.1, 2019-08-23 11:32:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-08-23 11:32:25, POST, /admin/default/index, HTTP/1.1, 303, 0.028000
127.0.0.1, 2019-08-23 11:32:25, GET, /admin/default/site, HTTP/1.1, 200, 0.083000
127.0.0.1, 2019-08-23 11:32:26, POST, /admin/default/check_version, HTTP/1.1, 200, 0.672000
127.0.0.1, 2019-08-23 11:32:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-08-23 11:32:59, POST, /admin/default/site, HTTP/1.1, 303, 1.299000
127.0.0.1, 2019-08-23 11:32:59, GET, /admin/default/design/Shots_Manager, HTTP/1.1, 200, 0.219000
127.0.0.1, 2019-08-23 11:32:59, GET, /admin/static/_2.18.5/images/search.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2019-08-23 11:32:59, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-08-23 11:32:59, GET, /admin/static/_2.18.5/images/delete_icon.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-08-23 11:32:59, GET, /admin/static/_2.18.5/images/test_icon.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-08-23 11:33:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-08-23 11:33:18, POST, /admin/default/create_file, HTTP/1.1, 303, 0.081000
